,company,title
0,Boston Consulting Group (BCG),Data Analyst
1,Boston Consulting Group (BCG),Data Analyst - GAMMA
2,CaaStle,Data Analyst
3,Hopper,WFM Data Analyst
4,Chegg India,Data Analyst - II
5,WinZO,Data Analyst
6,WheelsEye,Data Analyst
7,Maruti Suzuki India Limited,Data Analyst
8,Impetus,Business Data Analyst
9,edamama,Data Analyst
10,Crossover,"Data Analyst, Trilogy (Remote) - $60,000/year USD"
11,Qrata,Data Analyst
12,"MORE, from Oliver",Data Analyst
13,Miric Biotech Limited,Data analyst
